,name,read_count,percentage
0,Prevotella copri,68794,60.038050687705095
1,Bacteroides vulgatus,10621,9.269182433847657
2,Dialister succinatiphilus,3221,2.811038190323256
3,Sutterella wadsworthensis,2062,1.7995531662361237
4,Megasphaera massiliensis,1919,1.67475389234099
5,Acidaminococcus intestini,1800,1.5708999511275572
6,Parabacteroides distasonis,892,0.7784681980032117
7,[Clostridium] bolteae,774,0.6754869789848496
8,Bacteroides stercoris,743,0.6484325909376527
9,[Desulfotomaculum] guttoideum,714,0.6231236472805977
10,Prevotella veroralis,592,0.5166515394819521
11,Bacteroides xylanisolvens,391,0.34123437827270825
12,Enterobacter hormaechei,390,0.34036165607763735
13,Bacteroides caccae,346,0.3019618794945193
14,Bacteroides uniformis,319,0.278398380227606
15,Enterobacter cloacae,303,0.2644348251064721
16,[Clostridium] indolis,297,0.25919849193604694
17,Prevotella melaninogenica,225,0.19636249389094465
18,Oscillibacter valericigenes,207,0.18065349437966907
19,[Clostridium] xylanolyticum,154,0.1343992180409132
20,[Clostridium] amygdalinum,138,0.12043566291977936
21,Citrobacter freundii,137,0.11956294072470852
22,Prevotella oulorum,134,0.11694477413949592
23,[Clostridium] saccharolyticum,133,0.11607205194442505
24,Lachnoclostridium pacaense,128,0.11170844096907073
25,Klebsiella pneumoniae,122,0.10647210779864555
26,Bacteroides thetaiotaomicron,121,0.10559938560357467
27,Bacteroides fragilis,113,0.09861760804300776
28,Roseburia faecis,98,0.08552677511694477
29,[Clostridium] clostridioforme,98,0.08552677511694477
30,[Clostridium] sphenoides,92,0.08029044194651959
31,[Clostridium] celerecrescens,75,0.06545416463031488
32,Prevotella histicola,72,0.06283599804510229
33,[Clostridium] lavalense,66,0.05759966487467709
34,Bacteroides rodentium,64,0.055854220484535366
35,Bacteroides ovatus,61,0.053236053899322774
36,Citrobacter murliniae,60,0.0523633317042519
37,Oscillibacter ruminantium,55,0.04799972072889758
38,[Clostridium] aerotolerans,53,0.04625427633875585
39,Haemophilus parainfluenzae,52,0.045381554143684985
40,Enterobacter tabaci,52,0.045381554143684985
41,Roseburia inulinivorans,46,0.040145220973259794
42,Bacteroides eggerthii,44,0.03839977658311806
43,Sutterella massiliensis,43,0.0375270543880472
44,Leclercia adecarboxylata,42,0.036654332192976334
45,Alistipes shahii,40,0.0349088878028346
46,Kineothrix alysoides,39,0.034036165607763735
47,Bacteroides faecis,36,0.031417999022551144
48,Prevotella jejuni,36,0.031417999022551144
49,Enterobacter ludwigii,36,0.031417999022551144
50,Weissella confusa,35,0.03054527682748028
51,Salmonella enterica,35,0.03054527682748028
52,Enterobacter bugandensis,35,0.03054527682748028
53,Prevotella salivae,35,0.03054527682748028
54,Bacteroides dorei,34,0.02967255463240941
55,Anaerostipes hadrus,33,0.028799832437338545
56,[Clostridium] symbiosum,33,0.028799832437338545
57,[Clostridium] methoxybenzovorans,32,0.027927110242267683
58,Bacteroides faecichinchillae,32,0.027927110242267683
59,Enterobacter cancerogenus,32,0.027927110242267683
60,Citrobacter braakii,31,0.027054388047196815
61,Acidaminococcus fermentans,28,0.024436221461984223
62,Prevotella paludivivens,28,0.024436221461984223
63,[Clostridium] citroniae,27,0.023563499266913354
64,Odoribacter splanchnicus,27,0.023563499266913354
65,Anaerotignum lactatifermentans,27,0.023563499266913354
66,Bacteroides sartorii,26,0.022690777071842493
67,Bacteroides clarus,26,0.022690777071842493
68,Bacteroides intestinalis,24,0.020945332681700762
69,Citrobacter werkmanii,24,0.020945332681700762
70,Enterobacter asburiae,24,0.020945332681700762
71,[Clostridium] asparagiforme,23,0.020072610486629897
72,Blautia luti,22,0.01919988829155903
73,Parasutterella excrementihominis,22,0.01919988829155903
